product_id,name,description,dept_id,category,brand,price,cost,stock,reorder_level,supplier_id,weight_kg,dimensions,is_active,date_added,warehouse_id
ELEC-000075,Canon Street Audio Equipment,Mean result else system fast environmental budget. Animal draw although challenge third. Establish so politics eat.,1001,Audio Equipment,Canon,910.84,485.95,14,3,SUP031,21.17,,True,2024-11-29,WH07
ELEC-000076,Nor Laptop,Possible plan win. Bar relationship near reveal impact particularly.,1001,Laptops,Lenovo,199.64,97.78,205,52,SUP193,32.11,18x136x145cm,False,2023-06-01,WH03
ELEC-000077,Art Accessorie,Station despite whole. Eight administration price test. Blood second high president thank plant nearly stage. Food daughter picture teach house.,1001,Accessories,HP,960.72,502.95,361,68,SUP056,,,True,2023-10-12,WH07
ELEC-000078,Bose Show Gaming,Chance look many least spring computer. Make role positive again clear concern hour. Could century interview lawyer population I right case.,1001,Gaming,Bose,252.75,107.49,293,64,SUP185,38.97,169x78x53cm,True,2024-09-10,WH04
ELEC-000079,Dell Actually Smart Home,Help again step shake. Car show environment. Outside society act social my stand system be. Lose none know clear.,1001,Smart Home,Dell,1186.51,559.8,207,25,SUP128,3.64,4x93x82cm,True,2023-06-09,WH07
ELEC-000080,Nikon Clear Gaming,Myself environment myself again. Bill father memory.,1001,Gaming,Nikon,1155.95,729.53,18,3,SUP004,,,True,2024-12-13,WH07
ELEC-000081,Change Camera,Agency interview challenge pretty difficult.,1001,Cameras,Google,1162.31,605.2,337,69,SUP158,,,True,2025-01-29,WH04
ELEC-000082,Nikon If TV,College body big what ground past brother. Time page concern most.,1001,TVs,Nikon,900.33,535.65,339,38,SUP179,47.68,,True,2024-03-29,WH07
ELEC-000083,Canon Respond Laptop,Throw reach person expert. Even material hard enter. Small technology within sing.,1001,Laptops,Canon,129.79,77.54,99,12,SUP182,,,True,2022-11-18,WH06
ELEC-000084,Sony Choose Camera,Return size long attack official where everything. Follow camera should good. Interest really including soldier four soon president.,1001,Cameras,Sony,1137.18,704.92,70,17,SUP008,21.52,68x183x148cm,True,2023-03-07,WH08
ELEC-000085,Nikon Kid Accessorie,Much manage movie discover base resource money. Reflect dog able yes admit. Listen card body treat guess support single.,1001,Accessories,Nikon,774.43,395.2,140,35,SUP147,5.86,1x12x4cm,True,2022-11-10,WH08
ELEC-000086,Magazine Gaming,Will tree drug still argue case while. Help ago who he.,1001,Gaming,Bose,309.49,127.08,421,119,SUP190,11.3,,True,2024-07-18,WH06
ELEC-000087,Samsung Recognize Camera,Live order citizen chair. Bad baby notice sport. She like cell month. Like reveal know population actually.,1001,Cameras,Samsung,223.13,92.78,124,32,SUP012,3.54,73x199x80cm,True,2022-10-10,WH08
ELEC-000088,HP As Smartphone,Seem me action strategy quite then never stop.,1001,Smartphones,HP,867.52,509.07,247,42,SUP127,38.82,140x195x63cm,True,2025-03-14,WH07
ELEC-000089,LG More Smartphone,Interest church win miss within. Sea hundred argue hot.,1001,Smartphones,LG,972.12,391.65,181,18,SUP169,36.93,53x136x61cm,True,2024-11-28,WH01
ELEC-000090,Lenovo Operation TV,Staff life finish politics. Close sound position crime board back. Single friend dream clear blood deep action travel. Necessary point allow especially with.,1001,TVs,Lenovo,113.66,74.29,221,53,SUP096,37.42,130x35x164cm,True,2024-02-20,WH02
ELEC-000091,Bose Organization Smartphone,Answer behavior final. Seem when matter fire hospital green. Reflect best imagine scientist.,1001,Smartphones,Bose,239.53,156.96,484,125,SUP180,16.38,60x20x52cm,True,2022-09-29,WH02
ELEC-000092,Samsung Surface TV,Onto him only. Face charge leg.,1001,TVs,Samsung,725.78,407.0,404,57,SUP079,42.64,,True,2025-02-05,WH05
ELEC-000093,Better Smartphone,Space pressure shoulder claim white. Yeah participant model shoulder language capital fact.,1001,Smartphones,LG,525.3,249.24,192,34,SUP013,13.08,8x104x116cm,True,2024-04-24,WH04
ELEC-000094,Canon Yard Laptop,Three similar hold. Young parent when note yes. Source central that natural.,1001,Laptops,Canon,1201.02,502.63,409,121,SUP034,,176x162x166cm,True,2025-05-07,WH05
ELEC-000095,Station Laptop,Behind finish value claim evidence guy become. Represent leave worry without.,1001,Laptops,Apple,336.74,216.45,57,16,SUP085,,13x44x147cm,True,2024-09-24,WH07
ELEC-000096,Apple Letter Accessorie,Will major guy expert. Tax true can happen suddenly weight.,1001,Accessories,Apple,668.66,449.67,150,23,SUP039,,63x166x76cm,True,2023-07-25,WH08
ELEC-000097,Samsung Rest Smartphone,Late theory yard amount within arm so. Account table fact citizen human authority hold. Protect give life movement stand board Congress.,1001,Smartphones,Samsung,248.99,165.68,279,41,SUP140,49.47,92x123x140cm,True,2022-10-07,WH06
ELEC-000098,Bose Win Gaming,Current forget fish you main reduce. Boy lawyer nation we certainly degree nothing. Similar artist speak smile without degree deep age.,1001,Gaming,Bose,87.79,35.89,425,108,SUP015,23.64,150x60x41cm,True,2024-09-19,WH04
ELEC-000099,Land Camera,Player base attorney if fear. The modern prove else store begin top.,1001,Cameras,Nikon,1380.03,964.53,122,26,SUP100,41.98,46x61x152cm,True,2023-06-20,WH06
ELEC-000100,Some Smartphone,Cup walk loss movement. Whole join tree now.,1001,Smartphones,Lenovo,1423.96,810.14,106,28,SUP127,8.86,,True,2024-11-29,WH04
ELEC-000101,Nikon Option Smartphone,Back property pattern food worry. Add to value material first society. Enjoy reveal write wall tax plant. Best despite without information national coach help girl.,1001,Smartphones,Nikon,531.01,340.87,184,44,SUP083,,,True,2025-04-19,WH03
ELEC-000102,Respond Laptop,Have hair few. Maybe test record power lay. Goal stock international wind from unit.,1001,Laptops,Nikon,1442.81,984.83,212,46,SUP087,6.91,,True,2023-10-26,WH08
ELEC-000103,Hour Gaming,Organization myself high suddenly read join exist. Visit town between because student bed administration usually.,1001,Gaming,Sony,864.87,505.18,192,27,SUP151,18.98,76x33x46cm,True,2022-10-02,WH07
ELEC-000104,Sony So Smartphone,Between know ok allow face inside development. Necessary boy task wear go soldier less. Account hear difference exist they enough. Pull above training allow ago so.,1001,Smartphones,Sony,1385.51,646.02,299,36,SUP128,,61x89x82cm,True,2024-12-18,WH02
ELEC-000105,Canon Natural Gaming,Friend where year drop wind cover. Stock soon official can player within. Idea fish citizen discuss. Mean place six successful.,1001,Gaming,Canon,354.04,178.84,412,50,SUP001,,108x43x106cm,True,2024-04-28,WH07
ELEC-000106,Nikon Ever Gaming,We data behavior join. Show check peace myself win occur agent safe. Play sing cost present develop create subject.,1001,Gaming,Nikon,1251.77,717.79,398,94,SUP042,39.98,,False,2024-08-15,WH05
ELEC-000107,Samsung Surface Laptop,Process ever various physical point. Term book until but center energy Congress back. Tree debate beyond somebody including main.,1001,Laptops,Samsung,1337.5,565.09,492,137,SUP024,49.27,181x8x111cm,True,2024-04-26,WH03
ELEC-000108,Sony Develop Smart Home,Threat plant late claim federal tough. Piece talk bring garden get yet outside. Citizen score unit.,1001,Smart Home,Sony,530.09,277.12,293,71,SUP187,33.06,,True,2023-01-08,WH07
ELEC-000109,Sony All Accessorie,Military set describe. Boy describe foreign detail road vote. Event current begin remain present.,1001,Accessories,Sony,55.53,35.94,330,72,SUP052,,,True,2023-11-04,WH02
ELEC-000110,Samsung Table Accessorie,Mention hundred cover common reach thought. Which bill soldier onto close. West maintain third interest section.,1001,Accessories,Samsung,626.33,374.74,56,12,SUP100,,95x48x115cm,False,2024-11-21,WH08
ELEC-000111,Dell Prevent Accessorie,Him current good today standard last threat when. Only fall step population whole.,1001,Accessories,Dell,439.41,274.93,351,41,SUP172,27.12,151x59x142cm,True,2023-07-02,WH07
ELEC-000112,Nikon All Smart Home,Speak investment control early. Prevent head single business five.,1001,Smart Home,Nikon,1407.72,662.6,163,18,SUP183,,133x147x174cm,True,2022-06-22,WH03
ELEC-000113,Asus Get Laptop,Nothing focus discussion at exist defense design. Everyone part third teacher avoid throughout instead.,1001,Laptops,Asus,1426.14,661.11,108,13,SUP109,,52x161x38cm,True,2024-09-16,WH05
ELEC-000114,Friend Gaming,Culture sort material wrong instead. Laugh over option door. Expect popular task.,1001,Gaming,Lenovo,147.17,76.41,176,47,SUP134,43.69,160x151x134cm,True,2025-05-28,WH02
ELEC-000115,Sony Which Smart Home,Capital whom already mouth month. Population attorney believe sort rich ever. Hundred news finish partner hotel recent.,1001,Smart Home,Sony,902.5,615.41,483,58,SUP200,,,True,2023-10-22,WH06
ELEC-000116,Dell Time Smart Home,Visit bill difference stay catch year. Difficult because right speech staff Mr.,1001,Smart Home,Dell,754.1,310.12,151,27,SUP159,34.71,,True,2022-06-16,WH06
ELEC-000117,Rise Audio Equipment,Third amount answer fight enough.,1001,Audio Equipment,Apple,1385.21,562.49,428,110,SUP080,,179x176x26cm,True,2024-07-03,WH04
ELEC-000118,Strong TV,Recognize understand on build floor. Send thousand whole including. Property miss drive long majority exactly significant.,1001,TVs,Dell,692.51,332.98,223,49,SUP023,,,True,2023-11-22,WH08
ELEC-000119,Apple Best Gaming,Represent good structure drug positive. Reason avoid manager defense provide.,1001,Gaming,Apple,280.51,154.85,79,20,SUP135,1.54,,True,2023-11-06,WH01
ELEC-000120,Apple Image Audio Equipment,Bit decade opportunity month teach set find. Pretty summer black candidate true history laugh.,1001,Audio Equipment,Apple,1381.15,665.98,431,83,SUP102,6.28,,True,2024-04-21,WH08
ELEC-000121,Canon Degree TV,Attention institution rather week officer. Challenge then seat drive. Cost agreement product laugh enter until base.,1001,TVs,Canon,557.15,372.37,393,104,SUP024,,42x147x200cm,True,2023-09-26,WH04
ELEC-000122,Google City Audio Equipment,Issue free kid have any him up. Family idea order morning management. Body anyone eat book boy time.,1001,Audio Equipment,Google,994.8,655.96,402,95,SUP122,32.4,3x58x65cm,True,2024-03-02,WH05
ELEC-000123,Edge Camera,Big difficult per respond hot big safe. Manager commercial data PM relationship.,1001,Cameras,Bose,1284.8,598.03,164,38,SUP160,5.21,170x96x144cm,True,2023-04-22,WH05
ELEC-000124,Google About Camera,Me red live figure. Color race coach forward lay.,1001,Cameras,Google,142.56,84.42,451,70,SUP168,44.63,,True,2025-04-30,WH04
ELEC-000125,Reflect Smartphone,Free concern enough baby quickly table. Goal listen a their line and admit quite. Structure moment cold chair behind.,1001,Smartphones,Asus,1224.54,607.22,81,19,SUP168,14.85,104x100x189cm,False,2023-05-10,WH04
ELEC-000126,Simply Gaming,Make go nation professional effect learn still. Report through simple tax total. Machine establish mind policy challenge improve detail yes.,1001,Gaming,Lenovo,1045.16,567.23,491,115,SUP130,8.58,143x47x76cm,True,2023-07-07,WH03
ELEC-000127,Allow Camera,Scientist wind grow season create western police. Theory quickly tonight last when.,1001,Cameras,Lenovo,1156.23,698.26,181,41,SUP057,37.24,85x96x67cm,True,2024-01-09,WH08
ELEC-000128,Canon Evidence Laptop,Hospital individual yes finally American mind. Street but somebody note society get. Wide material rate letter.,1001,Laptops,Canon,969.88,568.54,251,69,SUP129,,136x77x106cm,True,2022-11-22,WH03
ELEC-000129,LG Figure TV,Professor field explain son administration American executive. But major above good street anyone case these. Program shoulder choice beat establish you culture. Truth fact allow usually eat question hit human.,1001,TVs,LG,1481.43,1031.07,83,13,SUP184,,,True,2025-02-25,WH03
ELEC-000130,Google Walk Gaming,Others community job then source. Raise current career never.,1001,Gaming,Google,705.48,445.91,305,77,SUP126,39.01,,True,2023-05-06,WH07
ELEC-000131,Bed Smart Home,Until leave contain site street benefit money. Mean rate group government level which.,1001,Smart Home,Bose,2663.07,1363.31,17,4,SUP194,9.61,161x188x64cm,True,2023-10-29,WH06
ELEC-000132,Sony While Camera,Whatever inside sense. Trade skill oil health per tonight there apply. Call prove leg several military stuff.,1001,Cameras,Sony,779.84,327.21,33,5,SUP075,26.06,112x176x35cm,True,2022-09-11,WH08
ELEC-000133,Asus Expect Gaming,Organization state not real ten building. Purpose school apply day century science manager difference.,1001,Gaming,Asus,1424.72,742.3,126,18,SUP034,,,True,2024-06-20,WH02
ELEC-000134,Lenovo Together Gaming,Pick rest view south perhaps. Boy a page building best.,1001,Gaming,Lenovo,104.18,49.67,283,63,SUP153,33.13,6x13x177cm,True,2023-01-20,WH08
ELEC-000135,Samsung Matter Smart Home,Kitchen argue business identify work star success.,1001,Smart Home,Samsung,737.87,449.04,332,33,SUP108,33.16,,True,2024-01-31,WH03
ELEC-000136,Samsung Term Smart Home,Teacher pay it player continue stand. Color score national live face. Where manage property hospital. Less spend challenge exist.,1001,Smart Home,Samsung,945.66,600.9,264,36,SUP052,41.59,92x181x105cm,True,2022-10-20,WH01
ELEC-000137,LG Improve Accessorie,Few population throw people amount trade while life.,1001,Accessories,LG,746.96,301.64,55,15,SUP147,7.54,,True,2024-08-11,WH02
ELEC-000138,Google Factor Camera,Group task me give.,1001,Cameras,Google,1483.57,800.06,61,16,SUP011,18.07,110x190x30cm,True,2024-07-24,WH01
ELEC-000139,Sony In Smartphone,Company charge pretty none. Resource skill everything several field hour trouble. Heavy line probably office until simple moment.,1001,Smartphones,Sony,297.24,157.93,328,50,SUP188,,47x30x103cm,True,2022-10-30,WH08
